item_id,zone,coordinates
1,Storage_Bay,"(0,0,0),(26.8,17.5,19.4)"
2,Maintenance_Bay,"(26.8,0,0),(76.7,36.3,44.2)"
3,Airlock,"(0,36.3,0),(48.1,69.5,43.1)"
4,Medical_Bay,"(48.1,36.3,0),(63.7,82.8,17.0)"
5,External_Storage,"(63.7,36.3,0),(86.9,67.9,18.2)"
6,Command_Center,"(0,0,18.2),(11.5,39.7,64.2)"
7,Medical_Bay,"(11.5,0,18.2),(29.1,15.1,43.1)"
8,Life_Support,"(29.1,0,18.2),(68.3,13.0,54.9)"
9,Crew_Quarters,"(0,13.0,18.2),(31.3,29.5,52.1)"
10,Storage_Bay,"(0,0,52.1),(15.7,18.6,81.5)"
11,Storage_Bay,"(15.7,0,52.1),(27.0,31.8,95.8)"
12,Greenhouse,"(27.0,0,52.1),(53.0,18.1,63.6)"
13,Airlock,"(53.0,0,52.1),(85.7,35.6,100.1)"
14,Crew_Quarters,"(0,35.6,52.1),(27.4,52.2,76.6)"
15,Engineering_Bay,"(0,0,76.6),(33.9,43.2,124.8)"
16,Engineering_Bay,"(33.9,0,76.6),(78.8,11.0,91.0)"
17,Maintenance_Bay,"(0,11.0,76.6),(27.6,43.5,94.1)"
18,Engineering_Bay,"(27.6,11.0,76.6),(43.0,46.8,99.3)"
19,Life_Support,"(43.0,11.0,76.6),(66.7,33.4,109.4)"
20,Storage_Bay,"(0,0,109.4),(33.3,39.2,142.6)"
21,Storage_Bay,"(33.3,0,109.4),(70.2,47.6,143.1)"
22,Engine_Bay,"(0,47.6,109.4),(20.6,90.0,134.1)"
23,Airlock,"(20.6,47.6,109.4),(62.3,63.7,137.4)"
24,Storage_Bay,"(0,63.7,109.4),(49.6,111.6,124.3)"
25,Crew_Quarters,"(49.6,63.7,109.4),(87.2,83.3,130.2)"
26,Maintenance_Bay,"(0,0,130.2),(46.5,46.7,155.8)"
27,Engineering_Bay,"(46.5,0,130.2),(91.5,46.7,140.2)"
28,Lab,"(0,0,140.2),(10.8,16.1,164.9)"
29,Medical_Bay,"(10.8,0,140.2),(31.2,17.9,187.2)"
30,Engineering_Bay,"(31.2,0,140.2),(42.2,36.9,151.9)"
31,Crew_Quarters,"(42.2,0,140.2),(80.4,28.3,156.4)"
32,Lab,"(0,0,156.4),(35.8,19.8,197.8)"
33,Crew_Quarters,"(35.8,0,156.4),(57.1,17.7,171.6)"
34,Crew_Quarters,"(0,0,171.6),(50.0,34.7,201.5)"
35,External_Storage,"(0,0,201.5),(26.2,46.8,228.8)"
36,Crew_Quarters,"(26.2,0,201.5),(68.7,46.2,250.9)"
37,Lab,"(0,0,250.9),(14.3,13.2,290.4)"
38,Crew_Quarters,"(14.3,0,250.9),(36.5,28.5,277.3)"
39,Lab,"(0,0,277.3),(18.9,19.6,307.1)"
40,External_Storage,"(18.9,0,277.3),(49.3,49.7,291.7)"
41,Storage_Bay,"(49.3,0,277.3),(89.7,30.9,325.2)"
42,Storage_Bay,"(0,30.9,277.3),(41.8,71.9,318.8)"
43,Storage_Bay,"(41.8,30.9,277.3),(77.0,72.1,320.3)"
44,Command_Center,"(0,72.1,277.3),(46.6,92.2,291.2)"
45,Airlock,"(46.6,72.1,277.3),(62.1,117.9,300.0)"
46,Storage_Bay,"(62.1,72.1,277.3),(72.9,109.7,307.7)"
47,Storage_Bay,"(72.9,72.1,277.3),(115.9,106.9,306.0)"
48,Cockpit,"(0,106.9,277.3),(15.9,144.9,305.9)"
49,Crew_Quarters,"(15.9,106.9,277.3),(27.5,133.0,301.1)"
50,Storage_Bay,"(27.5,106.9,277.3),(41.3,132.8,296.4)"
51,Lab,"(41.3,106.9,277.3),(58.5,127.3,304.1)"
52,Storage_Bay,"(58.5,106.9,277.3),(93.2,121.7,315.7)"
53,Engineering_Bay,"(0,121.7,277.3),(43.1,169.9,307.8)"
54,Cockpit,"(43.1,121.7,277.3),(55.2,146.0,315.0)"
55,Medical_Bay,"(55.2,121.7,277.3),(76.8,137.1,287.4)"
56,Medical_Bay,"(76.8,121.7,277.3),(101.6,140.2,332.9)"
57,Engineering_Bay,"(0,0,332.9),(18.6,12.0,381.3)"
58,Engineering_Bay,"(18.6,0,332.9),(36.5,16.3,358.7)"
59,Storage_Bay,"(36.5,0,332.9),(73.8,19.7,375.6)"
60,External_Storage,"(0,19.7,332.9),(48.4,37.2,344.2)"
61,Lab,"(48.4,19.7,332.9),(70.0,34.6,349.1)"
62,Storage_Bay,"(70.0,19.7,332.9),(119.3,65.8,361.4)"
63,Engineering_Bay,"(0,65.8,332.9),(49.4,87.8,377.7)"
64,Cockpit,"(49.4,65.8,332.9),(93.7,109.1,348.0)"
65,Lab,"(0,0,348.0),(39.2,49.3,384.2)"
